10gs,-3706.2512706205134
184l,-2401.28
185l,-2434.42
186l,-2374.72
187l,-2411.34
188l,-2448.42
1a1e,-3511.0
1a28,-2480.51
1a30,-2222.589992078119
1a4k,-9005.87
1a4r,-4382.64
1a4w,-3664.37
1a94,-1957.75
1a99,-7076.12
1a9m,-1947.42
1a9q,-7541.19
1aaq,-2026.04
1add,-4539.03050534598
1adl,-3265.12
1afk,-1749.95
1afl,-1740.94
1ai4,-6180.12
1ai5,-6210.186607300536
1ai7,-6348.33
1aid,-2067.67
1aj7,-4013.77
1ajn,-6288.79
1ajp,-6317.231900629145
1ajq,-6310.001565038498
1ajv,-2031.77
1ajx,-2119.98
1alw,-5866.59
1amk,-4252.48
1amw,-6112.33
1apv,-4658.13
1atl,-6287.38
1atr,-4655.02
1avn,-2690.1957671578466
1ax0,-6027.232020602514
1azm,-2537.66
1b05,-4684.85
1b0h,-5060.947953503251
1b1h,-4779.924953610484
1b2h,-5228.323185333633
1b32,-5014.698333176125
1b38,-3389.7394398669785
1b3f,-5044.021112449042
1b3g,-4946.360934323293
1b3h,-4994.736232463194
1b3l,-5253.04
1b40,-5063.700627995947
1b46,-5209.278967527937
1b4h,-5001.581000591992
1b4z,-5022.261702373826
1b51,-5032.632091119847
1b52,-4817.484523301288
1b57,-7511.429586957629
1b58,-5135.408270021528
1b5h,-4885.092560469545
1b5i,-4761.626321756047
1b5j,-4921.46771882075
1b6h,-4962.061925778919
1b6j,-1906.5132832942568
1b6k,-2111.5118755172034
1b6l,-2145.7596107108475
1b7h,-5015.68122204669
1b8n,-2899.3505340152583
1b8o,-2838.730771576467
1b8y,-3069.430250057961
1b9j,-4970.724704337164
1bai,-3046.838634753012
1bcd,-2689.595198055365
1bcu,-3727.070118657015
1bdq,-2248.052561484449
1bgq,-6280.347010888937
1bhf,-1409.1825359144786
1bhx,-3599.8636604325907
1bju,-1902.8076099729503
1bjv,-2043.320018532895
1bm7,-6431.0016628376925
1bma,-1875.780173912366
1bn1,-2578.266197255046
1bn3,-2615.597387743766
1bn4,-2663.0901613547494
1bnn,-2692.5511509467347
1bnq,-2701.8616968572483
1bnt,-2696.783058565929
1bnu,-2688.222477168407
1bnv,-2680.3282656140373
1bnw,-2723.236528163839
1bp0,-10106.742816511369
1br6,-2494.541754697308
1bty,-1895.40012979746
1bv7,-1927.8555150928723
