,PDB_IDs,0,1,2,3,4,5,6,7,8
0,10gs,-6.000000000000104,-1.3507999999999956,-3.921100000000009,-2.9505999999999935,4.171999999999996,-1.9545999999999961,3.406900000000007,-0.8626999999999911,-2.5390999999999857
1,11gs,-6.000000000000104,-2.02469999999999,-3.982300000000009,-1.6210999999999918,2.270799999999998,-1.5372999999999961,3.702800000000003,-2.1164999999999994,-0.6916999999999884
2,13gs,-6.000000000000104,-2.2377000000000025,-2.570099999999993,-2.9257999999999944,1.8728000000000127,-0.15089999999999687,4.931500000000007,-1.4724999999999966,-3.447299999999994
3,16pk,14.000000000000181,1.9955999999999756,7.05309999999997,-0.6163999999999817,0.5727000000000008,-1.2220999999999953,-0.18239999999999024,3.076600000000008,3.3229
4,184l,9.000000000000012,3.6212999999999953,-2.458099999999997,0.6353000000000012,1.672600000000004,0.4712000000000016,1.911500000000003,0.7587000000000002,2.387500000000005
5,185l,9.000000000000012,3.153700000000005,-1.4605999999999966,0.10930000000000006,1.8169000000000044,0.9128000000000016,2.084100000000002,0.19340000000000052,2.1904000000000052
6,186l,9.000000000000012,2.492900000000004,-2.865699999999998,0.25060000000000066,2.6513000000000035,0.7333000000000024,2.521600000000001,1.1833000000000005,2.032700000000006
7,187l,9.000000000000012,3.6558999999999995,-1.2791999999999972,-0.36519999999999936,2.5395000000000043,0.9937999999999995,0.16280000000000175,-0.5315999999999999,3.8239999999999985
8,188l,9.000000000000012,4.250899999999995,-2.7475000000000085,0.0936000000000003,1.505900000000004,0.41680000000000184,1.9243000000000021,1.2478,2.308200000000005
9,1a07,7.999999999999943,3.0869000000000013,2.873800000000004,-0.414299999999994,2.4312000000000027,1.220800000000005,2.1819999999999995,-1.2942999999999993,-2.0861
10,1a08,3.9999999999999907,-0.5511999999999998,2.2509000000000023,0.33870000000000183,0.6732000000000022,-0.33199999999999935,2.9348999999999945,-0.1668999999999994,-1.1476000000000002
11,1a09,6.999999999999963,0.8043000000000007,2.6813999999999987,1.1257000000000055,-0.35989999999998784,4.992599999999985,-1.699699999999992,-2.265900000000001,1.7214999999999998
12,1a0q,4.9999999999999165,-0.9353999999999938,1.7244000000000024,-3.614799999999991,-0.9032999999999856,2.353600000000014,1.9122000000000097,2.636500000000006,1.8268000000000013
13,1a0t,-30.0000000000002,-9.191000000000043,-2.3688000000001286,-12.548299999999863,-9.892200000000045,0.6060000000000141,1.5631000000000197,2.023700000000005,-0.1924999999999783
14,1a1b,6.999999999999956,0.7670000000000012,4.353799999999995,-0.1930999999999965,0.00620000000000448,4.046099999999983,2.6979000000000015,-1.6578999999999995,-3.0200000000000005
15,1a1c,6.999999999999956,2.0529,2.248600000000005,-3.1394000000000064,2.5678000000000085,2.994199999999995,2.0968000000000004,1.1695000000000009,-2.9904
16,1a1e,6.999999999999956,1.7679,2.6998000000000038,1.510200000000006,0.05980000000000543,3.67009999999999,0.23340000000000546,-1.2692000000000005,-1.6719999999999997
17,1a28,3.0000000000000684,-0.9857999999999923,3.9233000000000056,-0.6273999999999985,0.6123000000000223,-2.2703999999999684,4.8505999999999805,-1.3783999999999914,-1.1241999999999954
18,1a2c,-3.000000000000054,-2.265899999999996,-1.440599999999997,5.030700000000004,-3.1079999999999957,-2.3437999999999946,-0.4176999999999977,-3.701400000000003,5.246699999999991
19,1a30,8.000000000000021,0.850100000000007,1.308700000000003,-1.4108999999999967,1.7208000000000039,1.084900000000002,1.0015999999999998,3.458099999999998,-0.013299999999994844
20,1a37,-8.000000000000187,-5.673899999999996,-1.808099999999999,5.395399999999938,-2.7460000000000004,-1.6412999999999944,-3.83859999999999,-2.9116000000000004,5.224100000000003
21,1a3e,-6.041694922132024e-14,-0.4045999999999933,-1.5610999999999993,3.124600000000004,-3.0886999999999922,-1.8322999999999947,1.1321000000000039,-1.1973999999999885,3.827399999999977
22,1a42,-1.9999999999999676,0.39240000000001074,-0.9764999999999965,-0.9048999999999937,0.8934000000000007,-3.8947999999999947,3.3471999999999995,-0.019199999999993778,-0.8375999999999927
23,1a46,-6.041694922132024e-14,-1.4605999999999968,1.0512000000000035,1.376800000000002,-1.4714999999999945,-3.706799999999999,3.083700000000007,-0.17079999999999318,1.298000000000005
24,1a4g,0.999599999999728,0.9723000000000044,-3.1489000000000127,3.8195000000000037,-1.4202000000000026,2.0742999999999956,3.9883,-4.58679999999999,-0.6988999999999875
25,1a4h,-9.000000000000034,-1.0580999999999972,-0.5600999999999974,0.5771000000000012,-0.5422999999999946,-1.9627999999999892,-2.6144999999999987,-0.07609999999999162,-2.763199999999999
26,1a4k,17.000000000000107,-0.8633999999999782,4.228900000000002,0.9609000000000001,5.144799999999947,0.7448000000000135,1.2403000000000008,3.4950000000000045,2.048700000000046
27,1a4q,2.9995999999995657,-2.863599999999994,2.728800000000017,2.6263000000000067,-2.191000000000022,3.448299999999993,3.580700000000003,-0.5424999999999804,-3.787399999999994
28,1a4r,-2.4091839634365897e-14,0.15940000000000562,1.7934000000000097,1.8293000000000075,-3.8547000000000033,2.8732000000000033,-2.055999999999988,-4.287900000000014,3.543300000000005
29,1a4w,-1.0000000000000242,-2.4623999999999966,-0.6120999999999984,3.1940000000000057,0.1346000000000015,-3.8992999999999967,1.0496000000000043,0.6662000000000085,0.9294000000000001
30,1a50,-11.000000000000206,-3.8611999999999926,2.902799999999933,1.316200000000016,-1.5273999999999954,4.55799999999995,-5.9393,-6.583300000000001,-1.8657999999999961
31,1a52,-12.00000000000004,-5.821000000000039,-0.5082000000000001,-0.3302999999999744,-0.5591999999999889,1.7167000000000003,-4.229600000000024,-0.5830999999999933,-1.6852999999999818
32,1a5g,-1.000000000000025,0.09589999999999974,-2.492399999999999,2.917600000000004,-0.7423999999999947,-3.3036999999999965,0.058400000000005114,-2.234299999999999,4.700899999999969
33,1a5h,-6.000000000000228,3.0159000000000056,-2.860699999999998,-1.4915999999999843,-1.466100000000067,-6.3187000000000015,3.3446000000000073,-0.34179999999999877,0.11840000000000184
